"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 06 07:32:38 UTC 2025","Sun Jul 06 07:32:38 UTC 2025","1","tests","test_api","","","","test_dzielenie_przez_zero",""
"passed","Sun Jul 06 07:32:38 UTC 2025","Sun Jul 06 07:32:38 UTC 2025","0","tests","test_api","","","","test_potegowanie",""
"passed","Sun Jul 06 07:32:38 UTC 2025","Sun Jul 06 07:32:38 UTC 2025","2","tests","test_api","","","","test_dodawanie",""
"passed","Sun Jul 06 07:32:38 UTC 2025","Sun Jul 06 07:32:38 UTC 2025","1","tests","test_api","","","","test_pierwiastek",""
